Ticker,Company
BIOG,Biotech Gwth
BERI,Blackrock Engy
BRFI,Blackrock Fr
BRGE,Blackrock Great
BRLA,Blackrock Lat A
BRSA,Blackrock Sait
BRSC,BlackRock Smaller Companies Trust PLC
BRWM,Blackrock Wld
BMY,Bloomsbury
BSIF,Bluefield Solar
BOY,Bodycote
BP,BP
BPT,Bridgepoint
BATS,British American Tobacco
BLND,British Land
BVIC,Britvic
BASC,Brown Advisory
BUT,Brunner Inv.tst
BT-A,BT
BNZL,Bunzl
BRBY,Burberry
BYIT,Bytes Tech
CCR,C&c Grp
CNE,Cairn Energy
CLDN,Caledonia
CPI,Capita
CAPD,Capital
CAPC,Capital & Counties
CAL,Capital & Regional
CGT,Capital Gearing
CARD,Card Factory
CCL,Carnival
CARR,Carrs Group
CCJI,Cc Japan
CEY,Centamin PLC
CNA,Centrica
CHG,Chemring
CSN,Chesnara
CHRY,Chrysalis Inves
CLIG,City Lon Inv
CTY,City Of London Investment
CSH,Civitas Social Housing
CKN,Clarkson
CBG,Close Bros
CLI,CLS Holdings
CMCX,Cmc Mkts
COA,Coats
CCH,Coca-Cola HBC
CPG,Compass Group
CCC,Computacenter
GLO,ContourGlobal
CTEC,ConvaTec
COST,Costain
CSP,Countryside Properties
CYN,CQS Natural Resources
NCYF,Cqs New C.h.y.f
CWK,Cranswick
CRST,Crest Nicholson
CRH,CRH
CRDA,Croda International
CTPE,Ct Priv. Ord
CTPT,Ct Property Tst
CTUK,Ct Uk Cap & Inc
CURY,Currys Plc
CREI,Custodian Reit
CVCG,Cvc Ig Gbp
DARK,Darktrace
DCC,DCC
DLAR,De La Rue
DPH,Dechra
DLN,Derwent London
DVO,Devro
DFS,Dfs Furn
DGE,Diageo
DTY,Dignity
DPLM,Diploma
DLG,Direct Line
DSCV,Discoverie Grp.
DIVI,Diverse Inc
DEC,Diversified En
DOM,Dominos
DORE,Downing Renewa.
DOCS,Dr.martens
DRX,Drax
DIG,Dunedin Inc.
DNLM,Dunelm
DWF,Dwf Group
EZJ,easyJet
EGL,Ecofin Global
EWI,Edin.wwide Inv
EDIN,Edinburgh Investment Trust PLC
EPIC,Ediston Prprty
ELM,Elementis
ESP,Empiric
EDV,Endeavour Min
ENOG,Energean Oil & Gas
ENQ,Enquest
ENT,Entain
ESKN,Esken Ltd
ESNT,Essentra
EOT,Euro Opps Tr.
ERM,Euromoney
EAT,European Assets Trust
ESCT,European Small.
EXPN,Experian
FCIT,F&C Investment Trust
FDM,FDM Group
FXPO,Ferrexpo
FSV,Fidelity
FAS,Fidelity Asian Values
FCSS,Fidelity China Special Situations PLC
FEML,Fidelity E.m.ld
FEV,Fidelity European Values
FJV,Fidelity Japan Trust
FGT,Finsbury Growth
FGP,Firstgroup
FLTR,Flutter Ent
FSFL,Foresight Solar
FSF,Foresight Sust
FSG,Foresightgr
FORT,Forterra
FOXT,Foxtons
FRAS,Frasers Grp
FRES,Fresnillo
FSTA,Fuller Smith & Turner
FCH,Funding Circle
FEET,Fundsmith Emerg
FUTR,Future
GFRD,Galliford Try
GAW,Games Workshop
GABI,Gcp Asset Bckd
GCP,GCP Infrastructure Investments
GEN,Genuit Grp Plc
GNS,Genus
CGEO,Georgia Capital
GSK,Glaxosmithkline
GSCT,Glb Sml Co Trst
GLEN,Glencore
GSF,Gore Street En.
GOT,Gotech Group
GPE,Gr.portland
GFTU,Grafton Group
GRI,Grainger plc
UKW,Greencoat UK Wind
GNC,Greencore
GRG,Greggs
GYM,Gym Grp
HLN,Haleon
HFD,Halfords
HLMA,Halma
HMSO,Hammerson
HBR,Harbour Energy
HVPE,HarbourVest Private Equity
HL,Hargreaves Lansdown
HWG,Harworth Gp
HAS,Hays
HEAD,Headlam
HLCL,Helical Bar
HTWS,Helios Towers
HEFT,Hend.eur.focus
HNE,Hend.euro.
HFEL,Hend.far East
HDIV,Henderson Div
HHI,Henderson High Income Trust
HINT,Henderson Int.
HSL,Henderson Smaller Companies Trust
BOOT,Henry Boot
HRI,Herald
HGT,HgCapital Trust plc
HICL,HICL Infrastructure
HIK,Hikma Pharmaceuticals
HILS,Hill & Smith
HFG,Hilton Foods
SONG,Hipgnosis Song.
HSX,Hiscox
HOC,Hochschild
BOWL,Hollywood Bwl
HOME,Home Reit
HSV,Homeserve
HSW,Hostelworld
HWDN,Howden Joinery
HSBA,HSBC Holdings
HTG,Hunting
HYVE,Hyve Grp.
IBST,Ibstock
ICGT,Icg Ent Trst
IGG,Ig Group Holdings
IMI,IMI
IHR,Impact Health
IEM,Impax Asset Management
IMB,Imperial Brands
INCH,Inchcape
IIT,Ind.inv.tst
INDV,Indivior
MLI,Indust Reit
INF,Informa
IBT,Int.biotech.
IHP,IntegraFin Holdings
IPF,Inter. Pers.
IHG,InterContinental Hotels
ICP,Intermediate Capital
IAG,International Airlines
INPP,International Public Partnerships
ITRK,Intertek Group
IDS,Intl Dist Serv
IAT,Invesco Asia
BIPS,Invesco Bd In
IPU,Invesco Perp Uk
IVPU,Invesco Sel. Uk
INVP,Investec
IPO,Ip Group
ITV,ITV
IWG,IWG
FSJ,James Fisher and Sons
JD,JD Sports
JLEN,Jlen Env
JMAT,Johnson Matthey
JAGI,Jp Morg.as
JCGI,Jp Morg.chin
JSGI,Jpm Jap Sml G&i
JEDT,Jpmorg.eur
JGGI,Jpmorg.gbl.g&i
JUSC,Jpmorg.us
JAM,JPMorgan American
JCH,Jpmorgan Clav
JMG,JPMorgan Emerging Markets Investment Trust
JEGI,Jpmorgan Euro.
JEMI,Jpmorgan Glob
JARA,Jpmorgan Global
JII,JPMorgan Indian
JFJ,JPMorgan Japanese
JMF,JPMorgan Mid Cap
JMI,JPMorgan Smaller Companies
JTC,Jtc Plc
JUP,Jupiter Fund Management
JUST,Just Group
KNOS,Kainos Group
KLR,Keller
KMR,Kenmare Resources
KPC,Keystone Pos.
KIE,Kier
KCT,Kin and Carta
KGF,Kingfisher
LRE,Lancashire Holdings
LAND,Land Securities
LWDB,Law Debenture
LGEN,Legal & General
LTI,Lindsell Train
LIO,Liontrust Asset Management
LLOY,Lloyds
LSEG,Lon.stk.exch
LMP,LondonMetric
LOOK,Lookers
LWI,Lowland Inv.
LSL,Lsl Prop
LUCE,Luceco
LXI,Lxi Reit
MGCI,M&g Credit Inc.
MNG,M&g Plc
MACF,Macfarlane Grp.
MAJE,Majedie Inv.
EMG,Man
MNL,Manchester&lon.
MKS,Marks & Spencer
MSLH,Marshalls
MARS,Marstons
MNP,Martin Currie Global Portfolio Trust
MEGP,Me Group Intl.
MER,Mears
MGP,Medica Group P.
MDC,Mediclinic International
MRO,Melrose
MRC,Mercantile Investment Trust PLC
MRCH,Merchants Trust
MTRO,Metro Bank
MCRO,Micro Focus
MWY,Mid Wynd International Investment Trust
MCT,Middlefield Prf
MAB,Mitchells & Butlers
MTO,Mitie
GLE,MJGleeson
MMIT,Mobius Investm.
GROW,Molten Ventures
MNDI,Mondi
MONY,Moneysupermarket.Com
MNKS,Monks Inv
MTE,Montanaro
MTU,Montanaro Uk
MOON,Moonpig Gr
MGAM,Morgan Advanced Materials
MGNS,Morgan Sindall Group
MOTR,Motorpoint
MUT,Murray Inc.tst.
MYI,Murray International
NANO,Nanoco
NEX,National Express
NG,National Grid
NWG,Natwest
NBMI,Nb Global
NBPE,Nb Priv. Eqty
NCC,Ncc
NETW,Network Intl
NRR,NewRiver
NXT,Next
NESF,NextEnergy Solar
N91,Ninety One Plc
NXR,Norcros
NAIT,North American
NAS,North Atl.smlr
OCDO,Ocado
OCN,Ocean Wilsons
ORIT,Octopus Renew.
OIT,Odyssean Inves.
OTB,On The Beach
OSB,OneSavings Bank
OIG,Oryx International Growth
OXB,Oxford Biomedica
OXIG,Oxford Instruments
PAC,Pacific Assets
PHI,Pacific Horizon
PAGE,PageGroup
PCA,Palace Capital
PINT,Pantheon Infr
PIN,Pantheon International
PAG,Paragon Group
PAY,Paypoint
PSON,Pearson
PDG,Pendragon
PNN,Pennon
PSH,Pershing Square Holdings
PSN,Persimmon
PNL,Personal Assets Trust
PHLL,Petershill
PDL,Petra Diamonds
PFC,Petrofac
PETS,Pets At Home
PHAR,Pharos Energy
PHNX,Phoenix Group Holdings
PSDL,Phoenix Spree D
PCTN,Picton Prop
PTEC,Playtech
PLUS,Plus500
PODP,Pod Point
PCFT,Polar Cap Gbl
PCGH,Polar Cap Glbl
PCT,Polar Capital Technology Trust
POLN,Pollen Street
PRV,Porvair
PPH,Pphe Hotel
PFD,Premier Foods
PHP,Primary Health
PROC,Procook Grp
PFG,Provident Financial
PRSR,Prs Reit
PRU,Prudential
PRTC,Puretech
PZC,Pz Cussons
QQ,Qinetiq
QLT,Quilter
RNK,Rank
RAT,Rathbone
RCH,Reach Plc
RECI,Real Est.cred
RKT,Reckitt Ben. Gp
REC,Record
REDD,Redde Northgate
RDW,Redrow
RGL,Regional Reit
REL,Relx
TRIG,Renewables Infrastructure Group
RWI,Renewi Plc
RSW,Renishaw
RTO,Rentokil Initial
RESI,Residential Sec
RTN,Restaurant Gp
RHIM,RHI Magnesita
RCDO,Ricardo
RMV,Rightmove
RIO,Rio Tinto
RCP,RIT Capital Partners
RSE,Riverstone Energy
RWA,Robert Walters
RR,Rolls-Royce
ROR,Rotork
RPS,RPS Group
RS1,Rs Group
RICA,Ruffer Inv. Co.
SUS,S & U
SBRE,Sabre Insur
SAFE,Safestore
SAGA,Saga
SGE,Sage Group
SBRY,Sainsbury (J)
SVS,Savills
ATR,Schroder Asian
SDP,Schroder AsiaPacific Fund
SERE,Schroder Eur.r
SCF,Schroder Income Growth Fund
SJG,Schroder Japan
SOI,Schroder Orient
SREI,Schroder Real
SCP,Schroder UK Mid & Small Cap Fund
SUPP,Schroder Uk Pub
SDR,Schroders
SAIN,Scot.amer.inv.
SST,Scot.orntl.smll
SMT,Scottish Mortgage
SEIT,Sdcl Energy Ef.
STS,Secs.scotland
STB,Secure Trust
SGRO,Segro
SNR,Senior
SEQI,Sequoia Economic Infrastructure Fund
SSIT,Seraphim Sp
SRP,Serco
SFR,Severfield
SVT,Severn Trent
SHB,Shaftesbury
SHEL,Shell
SHI,SIG
SRE,Sirius R E.
SN,Smith & Nephew
SMDS,Smith (DS)
SMIN,Smiths Group
SSON,Smithson Invest
SKG,Smurfit Kappa
SCT,Softcat
SXS,Spectris
SDY,Speedy Hire
SPX,Spirax-Sarco
SPI,Spire Healthcare
SPT,Spirent
SSE,SSE
SSPG,SSP Group
STJ,St James Place
STAN,Standard Chartered
SWEF,Starwood Eur
STEM,Sthree
SEC,Strategic Eqty
STVG,Stvg
SDRY,Superdry
SUPR,Supermarket Inc
SYNC,Syncona
SYNT,Synthomer
THRL,Target Healthc.
TATE,Tate & Lyle
TMIP,Taylor Maritim
TW,Taylor Wimpey
TBCG,TBC Bank Group
TEP,Telecom Plus
TMPL,Temple Bar Investment Trust
TEM,Templeton Emerging Markets
TEG,Ten Ent Grp
TSCO,Tesco
THRG,Throgmorton Trust
TIFS,TI Fluid Systems
TPT,Topps Tiles
TCAP,TP ICAP
TRY,TR Property Investment Trust
TRN,Trainline
TPK,Travis Perkins
TET,Treatt
TRI,Trifast
SOHO,Triple Pnt Soc
BBOX,Tritax Big Box
EBOX,Tritax Euro.
TIGT,Troy Income
TRST,Trustpilot
TTG,Tt Electronics
TUI,TUI AG
TLW,Tullow Oil
TFIF,Twentyfour Inc
SMIF,Twentyfour Sel
TYMN,Tyman
UKCM,UK Commercial Property Trust
ULVR,Unilever
UTG,Unite
UU,United Utilities
UPGS,Up Global
SHED,Urban Lo
UEM,Utilico Em.mkts
VSVS,Vesuvius
GSEO,Vh Global Sust.
VCT,Victrex
VID,Videndum Plc
VEIL,Vietnam Enterprise Investments
VOF,VinaCapital vietnam Opportunity Fund
VIP,Vipera
VMUK,Virgin Money Uk
VTY,Vistry Grp
VOD,Vodafone
FAN,Volution Group PLS
VSL,Vpc Specialty
WPS,Wag Payment
WHR,Warehouse Reit
WOSG,Watches Switz
WEIR,Weir Group
JDW,Wetherspoon (J.D)
SMWH,Wh Smith
WTB,Whitbread
WIX,Wickes Group P.
WIN,Wincanton
WTAN,Witan
WIZZ,Wizz Air
WG,Wood Group (J)
WKP,Workspace
WWH,Worldwide Healthcare Trust
WPP,WPP
XAR,Xaar
XPP,Xp Power
XPS,Xps Pensions
ZTF,Zotefoams
